user_ID,high_school,test_ID,impression,Pass_or_Fail,subject_s/he_is_good_at
000320,5,"31,  51",example320,pass,êî
000321,2,23,example321,pass,óù
000322,1,12,example322,pass,é–
000323,5,"15,  51",example323,pass,óù
000324,1,14,example324,pass,âp
000325,3,"23,  32",example325,pass,é–
000326,1,12,example326,pass,çë
000327,3,34,example327,pass,âp
000328,1,"12,  33",example328,pass,óù
000329,2,21,example329,pass,óù
000330,3,"16,  31",example330,pass,é–
000331,3,"11,  35",example331,pass,óù
000332,3,"14,  31",example332,pass,âp
000333,2,"22,  35",example333,pass,âp
000334,1,"12,  35",example334,pass,é–
000335,3,35,example335,pass,é–
000336,2,22,example336,pass,âp
000337,1,16,example337,pass,êî
000338,4,41,example338,pass,âp
000339,3,"16,  32",example339,pass,çë
000340,3,31,example340,pass,êî
000341,2,"21,  33",example341,pass,êî
000342,3,"24,  35",example342,pass,âp
000343,1,"15,  34",example343,pass,óù
000344,1,12,example344,pass,óù
000345,3,"34,  51",example345,pass,êî
000346,4,"15,  41",example346,pass,çë
000347,2,23,example347,pass,çë
000348,1,11,example348,pass,é–
000349,2,21,example349,pass,êî
000350,5,51,example350,pass,çë
000351,2,"21,  31",example351,pass,çë
000352,1,12,example352,pass,âp
000353,1,16,example353,pass,é–
000354,3,"11,  35",example354,pass,óù
000355,5,"15,  51",example355,pass,çë
000356,1,11,example356,pass,çë
000357,3,"33,  51",example357,pass,âp
000358,3,"24,  33,  51",example358,pass,êî
000359,3,"22,  35",example359,pass,êî
000360,1,"11,  31",example360,pass,é–
000361,1,"13,  35",example361,pass,êî
000362,1,14,example362,pass,çë
000363,1,12,example363,pass,é–
000364,2,"21,  34",example364,pass,êî
000365,4,"13,  41",example365,pass,êî
000366,1,13,example366,pass,âp
000367,1,16,example367,pass,é–
000368,1,"12,  32",example368,pass,âp
000369,2,"23,  32",example369,pass,êî
000370,1,"13,  41",example370,pass,çë
000371,1,"12,  32,  52",example371,pass,óù
000372,3,32,example372,pass,âp
000373,3,"24,  35",example373,pass,óù
000374,1,"11,  35",example374,pass,âp
000375,1,15,example375,pass,é–
000376,1,13,example376,pass,çë
000377,1,14,example377,pass,êî
000378,1,16,example378,pass,çë
000379,1,"16,  35",example379,pass,âp
000380,3,"12,  34,  52",example380,pass,êî
000381,3,33,example381,pass,êî
000382,2,"24,  34",example382,pass,óù
000383,2,"22,  35",example383,pass,óù
000384,3,"11,  35",example384,pass,é–
000385,2,"24,  31",example385,pass,óù
000386,3,31,example386,pass,é–
000387,2,21,example387,pass,é–
000388,2,"22,  51",example388,pass,óù
000389,2,"23,  35,  51",example389,pass,óù
000390,3,33,example390,pass,êî
000391,4,"23,  41",example391,pass,é–
000392,1,16,example392,pass,âp
000393,3,"15,  34",example393,pass,é–
000394,2,"23,  41",example394,pass,é–
000395,1,11,example395,pass,êî
000396,2,"22,  35",example396,pass,çë
000397,1,"16,  41",example397,pass,é–
000398,2,24,example398,pass,êî
000399,1,13,example399,pass,âp
000400,1,14,example400,pass,é–
000401,1,"14,  52",example401,pass,óù
000402,1,15,example402,pass,êî
000403,1,12,example403,pass,âp
000404,2,23,example404,pass,êî
000405,3,"16,  35",example405,pass,êî
000406,1,14,example406,pass,êî
000407,3,34,example407,pass,âp
000408,2,23,example408,pass,çë
000409,2,22,example409,pass,çë
000410,5,"11,  51",example410,pass,êî
000411,2,21,example411,pass,çë
000412,5,"13,  51",example412,pass,âp
000413,1,15,example413,pass,óù
000414,2,22,example414,pass,é–
000415,3,"34,  51",example415,pass,çë
000416,1,15,example416,pass,óù
000417,3,"16,  31",example417,pass,âp
000418,1,13,example418,pass,êî
000419,2,23,example419,pass,óù
000420,3,32,example420,pass,é–
000421,3,32,example421,pass,óù
000422,1,"12,  41",example422,pass,çë
000423,4,"21,  41",example423,pass,âp
000424,3,"22,  35",example424,pass,é–
000425,2,24,example425,pass,çë
000426,2,23,example426,pass,âp
000427,1,"15,  34",example427,pass,çë
000428,1,"15,  32",example428,pass,âp
000429,5,52,example429,pass,âp
000430,1,11,example430,pass,óù
000431,2,"24,  41,  52",example431,pass,çë
000432,5,52,example432,pass,âp
000433,1,"13,  51",example433,pass,êî
000434,2,"24,  34",example434,pass,óù
000435,1,15,example435,pass,é–
000436,3,"12,  33,  52",example436,pass,çë
000437,3,"33,  51",example437,pass,êî
000438,5,51,example438,pass,óù
000439,3,32,example439,pass,çë
000440,3,"16,  34",example440,pass,é–
000441,1,12,example441,pass,êî
000442,2,"24,  31",example442,pass,óù
000443,3,34,example443,pass,é–
000444,1,"13,  33",example444,pass,óù
000445,4,41,example445,pass,çë
000446,4,41,example446,pass,é–
000447,5,51,example447,pass,êî
000448,1,15,example448,pass,çë
000449,3,"23,  34",example449,pass,êî
000450,1,"12,  35",example450,pass,óù
000451,2,23,example451,pass,çë
000452,3,33,example452,pass,çë
000453,3,"33,  52",example453,pass,êî
000454,3,"11,  35,  52",example454,pass,êî
000455,2,"22,  32",example455,pass,êî
000456,2,22,example456,pass,óù
000457,2,22,example457,pass,é–
000458,2,22,example458,pass,é–
000459,1,14,example459,pass,óù
000460,3,"22,  32",example460,pass,âp
000461,2,"22,  41",example461,pass,êî
000462,2,24,example462,pass,é–
000463,5,"34,  52",example463,pass,âp
000464,5,"35,  51",example464,pass,é–
000465,3,"15,  33",example465,pass,âp
000466,3,"14,  33",example466,pass,âp
000467,3,31,example467,pass,óù
000468,1,14,example468,pass,êî
000469,1,13,example469,pass,óù
000470,5,"12,  52",example470,pass,é–
000471,1,13,example471,pass,óù
000472,1,"11,  33",example472,pass,êî
000473,3,"12,  32",example473,pass,çë
000474,3,"34,  51",example474,pass,âp
000475,1,12,example475,pass,âp
000476,1,14,example476,pass,âp
000477,5,"14,  51",example477,pass,é–
000478,3,"11,  31",example478,pass,óù
000479,1,12,example479,pass,çë
000480,2,"22,  33",example480,pass,é–
000481,1,"16,  41",example481,pass,âp
000482,3,32,example482,pass,âp
000483,5,52,example483,pass,é–
000484,2,"21,  41",example484,pass,çë
000485,2,23,example485,pass,êî
000486,1,"14,  35",example486,pass,çë
000487,3,33,example487,pass,êî
000488,3,32,example488,pass,é–
000489,2,"24,  31",example489,pass,é–
000490,2,"24,  51",example490,pass,êî
000491,3,"13,  34",example491,pass,óù
000492,2,22,example492,pass,çë
000493,4,"22,  41",example493,pass,êî
000494,2,22,example494,pass,é–
000495,5,52,example495,pass,êî
000496,1,"12,  34",example496,pass,âp
000497,3,"14,  34",example497,pass,âp
000498,3,35,example498,pass,âp
000499,1,16,example499,pass,çë
000500,1,"14,  31",example500,pass,çë
000501,2,23,example501,pass,çë
000502,5,52,example502,pass,âp
000503,2,21,example503,pass,çë
000504,1,16,example504,pass,âp
000505,1,"11,  34",example505,pass,âp
000506,3,"11,  31",example506,pass,âp
000507,2,23,example507,pass,é–
000508,1,"14,  41,  51",example508,pass,óù
000509,3,"24,  32",example509,pass,âp
000510,1,"11,  33",example510,pass,âp
000511,1,"16,  52",example511,pass,óù
000512,2,"22,  32",example512,pass,çë
000513,3,"33,  51",example513,pass,âp
000514,5,"33,  51",example514,pass,óù
000515,3,33,example515,pass,êî
000516,1,"13,  33",example516,pass,êî
000517,2,22,example517,pass,êî
000518,1,"16,  52",example518,pass,óù
000519,1,"15,  51",example519,pass,çë
000520,1,"12,  51",example520,pass,é–
000521,1,16,example521,pass,óù
000522,1,15,example522,pass,âp
000523,1,"14,  35",example523,pass,óù
000524,1,"11,  51",example524,pass,é–
000525,3,32,example525,pass,óù
000526,1,15,example526,pass,âp
000527,5,"14,  52",example527,pass,âp
000528,3,"22,  33",example528,pass,âp
000529,3,34,example529,pass,óù
000530,1,"13,  35",example530,pass,é–
000531,3,32,example531,pass,çë
000532,5,"41,  51",example532,pass,óù
000533,3,"11,  34",example533,pass,é–
000534,1,13,example534,pass,âp
000535,1,11,example535,pass,çë
000536,2,21,example536,pass,çë
000537,2,24,example537,pass,çë
000538,1,"16,  41",example538,pass,êî
000539,1,12,example539,pass,êî
000540,1,"16,  41",example540,pass,êî
000541,5,"23,  52",example541,pass,êî
000542,1,14,example542,pass,çë
000543,2,"23,  52",example543,pass,çë
000544,3,31,example544,pass,âp
000545,1,"13,  31",example545,pass,çë
000546,2,21,example546,pass,êî
000547,1,15,example547,pass,âp
000548,2,23,example548,pass,êî
000549,3,32,example549,pass,çë
000550,1,16,example550,pass,é–
000551,3,31,example551,pass,óù
000552,3,"14,  32",example552,pass,óù
000553,1,"14,  33",example553,pass,çë
000554,5,"22,  51",example554,pass,âp
000555,1,"14,  41",example555,pass,é–
000556,5,"13,  31,  51",example556,pass,âp
000557,3,"24,  32",example557,pass,é–
000558,4,41,example558,pass,êî
000559,4,"12,  41",example559,pass,âp
000560,3,31,example560,pass,âp
000561,3,33,example561,pass,é–
000562,1,"13,  51",example562,pass,âp
000563,2,"24,  52",example563,pass,êî
000564,1,11,example564,pass,êî
000565,5,"16,  32,  51",example565,pass,âp
000566,2,24,example566,pass,âp
000567,1,13,example567,pass,çë
000568,4,"15,  41",example568,pass,é–
000569,3,"15,  33",example569,pass,âp
000570,5,"24,  34,  51",example570,pass,é–
000571,3,35,example571,pass,âp
000572,5,"22,  52",example572,pass,êî
000573,1,"16,  34",example573,pass,çë
000574,1,"12,  33",example574,pass,âp
000575,4,"23,  41",example575,pass,âp
000576,1,16,example576,pass,óù
000577,3,"16,  31",example577,pass,çë
000578,2,"24,  51",example578,pass,é–
000579,3,35,example579,pass,êî
000580,2,22,example580,pass,çë
000581,1,"11,  52",example581,pass,çë
000582,3,"24,  35",example582,pass,é–
000583,3,31,example583,pass,óù
000584,3,33,example584,pass,é–
000585,3,33,example585,pass,êî
000586,1,"13,  35",example586,pass,âp
000587,1,13,example587,pass,é–
000588,2,22,example588,pass,êî
000589,1,14,example589,pass,é–
000590,3,33,example590,pass,óù
000591,1,"16,  33",example591,pass,êî
000592,2,22,example592,pass,óù
000593,2,"22,  33",example593,pass,âp
000594,5,52,example594,pass,çë
000595,3,32,example595,pass,âp
000596,3,"33,  52",example596,pass,óù
000597,2,"23,  51",example597,pass,êî
000598,3,"14,  31",example598,pass,óù
000599,3,31,example599,pass,êî
000600,1,"15,  52",example600,pass,êî
000601,1,"11,  41",example601,pass,óù
000602,3,"23,  33,  52",example602,pass,çë
000603,1,13,example603,pass,êî
000604,1,13,example604,pass,é–
000605,2,22,example605,pass,êî
000606,3,"14,  34",example606,pass,êî
000607,4,"11,  41",example607,pass,é–
000608,1,15,example608,pass,óù
000609,1,13,example609,pass,é–
000610,4,41,example610,pass,êî
000611,4,"11,  41",example611,pass,âp
000612,4,"13,  41",example612,pass,çë
000613,1,13,example613,pass,óù
000614,1,11,example614,pass,óù
000615,4,41,example615,pass,çë
000616,3,"33,  52",example616,pass,âp
000617,3,"13,  34",example617,pass,âp
000618,1,12,example618,pass,âp
000619,1,16,example619,pass,âp
000620,3,35,example620,pass,çë
000621,3,31,example621,pass,çë
000622,3,31,example622,pass,êî
000623,3,32,example623,pass,é–
000624,5,"21,  33,  52",example624,pass,óù
000625,3,"23,  31",example625,pass,óù
000626,1,13,example626,pass,âp
000627,3,"15,  31",example627,pass,óù
000628,1,"16,  51",example628,pass,óù
000629,2,22,example629,pass,é–
000630,1,12,example630,pass,êî
000631,3,"14,  32",example631,pass,êî
000632,1,16,example632,pass,êî
000633,1,11,example633,pass,âp
000634,1,15,example634,pass,êî
000635,3,"14,  32",example635,pass,é–
000636,2,"23,  33",example636,pass,êî
000637,3,"12,  35",example637,pass,çë
000638,2,"21,  35",example638,pass,êî
000639,3,34,example639,pass,êî
000640,2,22,example640,pass,óù
000641,2,21,example641,pass,âp
000642,5,51,example642,pass,é–
000643,3,35,example643,pass,óù
000644,3,32,example644,pass,êî
000645,1,"13,  35",example645,pass,çë
000646,3,34,example646,pass,çë
000647,1,11,example647,pass,óù
000648,1,13,example648,pass,âp
000649,2,"21,  33",example649,pass,êî
000650,3,"11,  35",example650,pass,âp
000651,2,"21,  41",example651,pass,êî
000652,4,"41,  51",example652,pass,é–
000653,1,13,example653,pass,âp
000654,1,"12,  34",example654,pass,êî
000655,5,51,example655,pass,óù
000656,2,"21,  34",example656,pass,çë
000657,2,21,example657,pass,êî
000658,1,15,example658,pass,é–
000659,3,"23,  35",example659,pass,çë
000660,1,14,example660,pass,óù
000661,1,16,example661,pass,âp
000662,3,34,example662,pass,êî
000663,1,"16,  34",example663,pass,óù
000664,1,"11,  52",example664,pass,é–
000665,2,"21,  34",example665,pass,êî
000666,5,"31,  52",example666,pass,âp
000667,3,"23,  31",example667,pass,é–
000668,1,11,example668,pass,é–
000669,1,15,example669,pass,âp
000670,3,"24,  34",example670,pass,óù
000671,1,16,example671,pass,çë
000672,3,"23,  33",example672,pass,óù
000673,1,13,example673,pass,êî
000674,2,23,example674,pass,çë
000675,3,31,example675,pass,âp
000676,2,24,example676,pass,êî
000677,2,24,example677,pass,é–
000678,1,"16,  41",example678,pass,é–
000679,5,"21,  34,  51",example679,pass,çë
000680,1,"16,  31",example680,pass,âp
000681,3,"22,  35",example681,pass,é–
000682,1,"15,  41",example682,pass,êî
000683,3,32,example683,pass,êî
000684,1,11,example684,pass,êî
000685,2,24,example685,pass,çë
000686,2,22,example686,pass,êî
000687,3,"15,  35,  52",example687,pass,çë
000688,3,32,example688,pass,é–
000689,2,"22,  32",example689,pass,êî
000690,3,"15,  33,  51",example690,pass,óù
000691,3,33,example691,pass,é–
000692,1,11,example692,pass,âp
000693,3,35,example693,pass,êî
000694,3,"13,  35",example694,pass,óù
000695,3,32,example695,pass,é–
000696,4,"11,  41",example696,pass,é–
000697,3,31,example697,pass,êî
000698,1,16,example698,pass,êî
000699,1,15,example699,pass,óù
000700,5,"13,  52",example700,pass,âp
000701,5,"16,  51",example701,pass,âp
000702,2,"22,  33,  52",example702,pass,é–
000703,3,"16,  32",example703,pass,é–
000704,3,32,example704,pass,êî
000705,3,"32,  52",example705,pass,êî
000706,3,"16,  32",example706,pass,êî
000707,2,"24,  41,  51",example707,pass,âp
000708,1,"12,  41",example708,pass,óù
000709,3,"11,  32",example709,pass,é–
000710,5,"12,  52",example710,pass,êî
000711,4,"11,  41",example711,pass,óù
000712,3,35,example712,pass,çë
000713,2,22,example713,pass,âp
000714,3,"13,  33",example714,pass,çë
000715,2,"23,  33",example715,pass,âp
000716,3,"31,  52",example716,pass,âp
000717,2,"21,  35",example717,pass,é–
000718,3,"21,  35",example718,pass,çë
000719,3,"23,  31",example719,pass,óù
000720,1,13,example720,pass,êî
000721,1,16,example721,pass,é–
000722,1,13,example722,pass,êî
000723,2,"21,  32",example723,pass,óù
000724,2,"22,  34",example724,pass,óù
000725,3,"14,  33",example725,pass,óù
000726,1,16,example726,pass,é–
000727,4,41,example727,pass,óù
000728,1,12,example728,pass,çë
000729,2,22,example729,pass,âp
000730,3,32,example730,pass,é–
000731,5,51,example731,pass,êî
000732,2,"22,  32,  51",example732,pass,çë
000733,5,"16,  52",example733,pass,êî
000734,3,"24,  31",example734,pass,çë
000735,3,"23,  31",example735,pass,êî
000736,2,21,example736,pass,çë
000737,5,"11,  52",example737,pass,óù
000738,1,"11,  33",example738,pass,âp
000739,2,21,example739,pass,êî
000740,2,"23,  31",example740,pass,âp
000741,3,"12,  32",example741,pass,óù
000742,3,34,example742,pass,âp
000743,5,"32,  51",example743,pass,âp
000744,2,"23,  34",example744,pass,êî
000745,1,"12,  35",example745,pass,âp
000746,2,"21,  41",example746,pass,óù
000747,3,"13,  31",example747,pass,çë
000748,2,24,example748,pass,óù
000749,3,"21,  35",example749,pass,óù
000750,3,"22,  34,  51",example750,pass,êî
000751,2,"21,  34",example751,pass,çë
000752,2,24,example752,pass,âp
000753,5,"21,  51",example753,pass,êî
000754,2,21,example754,pass,óù
000755,4,"41,  52",example755,pass,é–
000756,3,35,example756,pass,âp
000757,2,23,example757,pass,êî
000758,1,14,example758,pass,âp
000759,2,"22,  33",example759,pass,âp
000760,3,"23,  32",example760,pass,êî
000761,3,"23,  33",example761,pass,çë
000762,3,"16,  34",example762,pass,çë
000763,1,11,example763,pass,êî
000764,5,51,example764,pass,âp
000765,1,"11,  31",example765,pass,óù
000766,2,23,example766,pass,é–
000767,3,"16,  32",example767,pass,êî
000768,3,34,example768,pass,êî
000769,1,"12,  34",example769,pass,é–
